Airport1,Airport2,TotalReservations
KPBI,KTEB,15
KMRY,KVNY,14
KMIA,KTEB,9
KHPN,KPBI,9
KASE,KTEB,8
KIAD,KPBI,7
KLAS,KSNA,6
KMIA,MYNN,6
KSAN,KSDL,5
KEGE,KTEB,5
KBZN,KSFO,5
KSGR,MMSD,5
KSDL,KVNY,5
KTEB,MYNN,5
KAPF,KTEB,4
KHPN,KJAC,4
KBUR,KLAS,4
KASE,KMIA,4
KASE,KVNY,4
KASE,KSDL,4
KHPN,KSUA,4
KLAS,KVNY,4
KCLT,KTEB,4
KTEB,TQPF,4
KDAL,KTEB,4
KSUA,KTEB,4
KEGE,KPWK,4
KRDU,KTEB,4
KBZN,KSJC,4
KDAL,KMRY,4
KAPF,KBNA,4
KBOS,KPBI,4
KLAS,KTRM,3
KAPF,KHPN,3
KRNO,KSJC,3
KLAS,KSJC,3
KSRQ,KTEB,3
KBCT,KHPN,3
KLAS,KSDL,3
KIAD,KPDX,3
KAPF,KDAL,3
KSNA,KSUN,3
KBHM,KPBI,3
KFLL,TQPF,3
KIAH,KLAS,3
KAUS,KMAF,3
KMRY,KSDL,3
KAPF,KBLM,3
KAUS,MMPR,3
KPBI,MYNN,3
KSBA,KSJC,3
KHPN,TAPA,3
KBZN,KHPN,3
KASE,KMDW,3
KBCT,MYAM,3
KAPA,KSDL,3
KCHO,KTEB,3
KMCO,KPDK,3
KAPA,KSNA,3
KAPF,KPTK,3
KEGE,KHPN,3
KTEB,TXKF,3
KAPF,KPIA,3
KELP,KLAS,3
KSDL,MMSL,3
KBZN,KDAL,3
KSJC,KVNY,3
KPWK,KSBA,3
KFTY,KTEB,3
KMIA,MBPV,3
KPBI,MYAM,3
KMIA,KPWK,3
KLAX,KSFO,3
KBED,KSRQ,3
KHPN,KJZI,3
KORL,KPBI,2
KPBI,KTPA,2
KBCT,MYNN,2
KBCT,KUES,2
KAUS,MMSD,2
KBCT,KTEB,2
KDFW,KMIA,2
KDAL,MYNN,2
KPBI,KPHL,2
KDAL,MMPR,2
KDAL,KSDL,2
KISM,KRDU,2
KDAL,KSGR,2
KBCT,KIAD,2
KDAL,KTPL,2
KIAD,KTEB,2
KPDK,KSUA,2
KPSP,MMSD,2
KAPF,KVNY,2
KRIL,KSDL,2
KRIC,KTEB,2
KASE,KFLL,2
KIAD,KJPX,2
KASE,KHPN,2
KASE,KICT,2
KASE,KJAC,2
KASE,KLAS,2
KASE,KLAX,2
KPWK,KRST,2
KPVD,KSUA,2
KECP,KJAX,2
KPSP,KSDL,2
KAUS,KSAF,2
KASE,KSGR,2
KIAD,KOCF,2
KDWH,KMBT,2
KDTS,KPDK,2
KOPF,MYNN,2
KPIE,MYNN,2
KDTO,KSLC,2
KPHX,KSLC,2
KDSM,KMEM,2
KLUK,KSTL,2
KAUS,KMEM,2
KAUS,KMRY,2
KPDX,KSNA,2
KDAL,KPBI,2
KAUS,KHHR,2
KBDL,KBTV,2
KMIA,MDLR,2
KCID,KPWK,2
KBUR,KSAC,2
KCLE,KPBI,2
KBUF,KSRQ,2
KMIA,KPHL,2
KBUF,KBWI,2
KLAX,KMRY,2
KMIA,KTPA,2
KCLT,KHPN,2
KBVS,KEAT,2
KBPT,KPHL,2
KBOS,KSUA,2
KBOS,KSLC,2
KLAS,KTEB,2
KBOS,KCHS,2
KCMH,KFLL,2
KBOS,KBZN,2
KLAS,KSGR,2
KMHT,KTEB,2
KCHS,MYNN,2
KCMH,KPLN,2
KMCO,KTPA,2
KLUK,KSLC,2
KLUK,KRSW,2
KLUK,KRDU,2
KCHO,KIAG,2
KCHO,KLUK,2
KCHO,KRDU,2
KBZN,KTEB,2
KBZN,KSNA,2
KLIT,KRDU,2
KBWI,KPBI,2
KMDW,KPDK,2
KCHS,KPBI,2
KBZN,KLAX,2
KMDW,KRYY,2
KMDW,KSDL,2
KLIT,KMAF,2
KMDW,KTEB,2
KMDW,KXNA,2
KCMH,KMYR,2
KBNA,KSUA,2
KBDL,KBZN,2
KJAC,KSJC,2
KJWN,KMSY,2
KCRQ,KTRK,2
KBFI,KSNA,2
KBFI,KRNO,2
KCYS,KRST,2
KHWD,KVGT,2
KDAB,KPMP,2
KJAC,KVNY,2
KBED,KPBI,2
KCRQ,KHCR,2
KJAC,KPTK,2
KJAC,KLUK,2
KDAL,KLEX,2
KDAL,KLIT,2
KDAL,KMCO,2
KBDR,KIAD,2
KOPF,KTEB,2
KDAL,KMSO,2
KCRQ,KSDL,2
KBHM,KSDF,2
KCMH,KROA,2
KLAL,KRDU,2
KBNA,KPBI,2
KLAS,KSAN,2
KMMU,KSOP,2
KMMU,KSUA,2
KBNA,KBZN,2
KLAS,KPHL,2
KCOS,KCOS,2
KBLM,KMKY,2
KLAF,KPWK,2
KBHM,KSLC,2
KJZI,KTEB,2
KBKL,KPTK,2
KMRY,KSMO,2
KMRY,KTRM,2
KCPS,KMSN,2
KMSP,KSLC,2
KCRG,KPBI,2
KMSY,MBPV,2
KDAB,KJQF,2
KCHA,KORL,2
KHOU,KSAT,2
KSVH,KTEB,2
KFTY,KOPF,2
KHCR,KVNY,2
KFCM,KSDL,2
KHPN,KRIL,2
KTEB,KTUS,2
KSDF,KTPA,2
KHPN,KROC,2
KSBA,KTEB,2
KGRR,KOFP,2
KAPF,KCMH,2
KSGR,KTEB,2
KHOU,KSDL,2
KTEB,MBPV,2
KAPF,KFOK,2
KFCM,KUGN,2
KFWA,KPHF,2
KSBA,KSDM,2
KADS,KBEH,2
KHPN,KVRB,2
KSGR,MMSL,2
KAGS,KSJC,2
KSDL,KSGR,2
KHOU,KSTL,2
KAPF,KTMB,2
CYYZ,KPBI,2
KSDM,KSNA,2
KSDL,MMSD,2
KFTW,KRVS,2
KHPN,KMIA,2
