Airport1,Airport2,TotalReservations
KPBI,KTEB,4
KSJC,KSNA,4
KMDW,KTEB,4
KHPN,KPBI,4
KOPF,KTEB,3
KPVD,KTEB,3
KFTW,KHOU,3
KHOU,KMAF,3
KIAD,KPBI,3
KAUS,KMAF,3
KPBI,KPIE,2
KAPF,KBHM,2
KSJC,KVNY,2
KASN,KPBI,2
KPBI,MYNN,2
KMMU,KSUA,2
KMSN,KSDL,2
KMMU,MYAM,2
KOAK,KTRK,2
KMVY,KPHL,2
KMCO,KSUS,2
KMRY,KTRM,2
KLAS,KSNA,2
KMIA,KTEB,2
KILN,KPBI,2
KILN,KTTN,2
KASE,KBTR,2
KSTS,KVNY,2
KPBI,KUES,2
KPWK,KSUA,2
KIAD,KMIA,2
KIAD,KIAD,2
KHPN,KVRB,2
KIAD,KTTN,2
KGSP,KROA,2
KHVN,KPBI,2
KHOU,KISM,2
KIAD,KMMU,2
KFLL,MYNN,2
KFRG,KIAD,2
KBED,KBUF,2
KBFI,KSTS,2
KAPF,KRIC,2
KAPF,KSUS,2
KFRG,MBPV,2
KFLL,KPDK,2
KDTS,KMSY,2
KDWH,KOKC,2
KCMH,KROA,2
KDAL,KIAD,2
KDAL,KSWO,2
KDAL,KTEB,2
KBHM,KPIA,2
KBHM,KMGM,2
KBOS,KPBI,2
KBCT,KTEB,2
KAUS,KMEM,2
KSBA,KSFO,2
KSEZ,KVGT,2
KTEB,KTEB,2
KSLC,KTEB,2
KTEB,TXKF,2
KPSM,KRYY,1
KADM,KBNA,1
MMGL,MMMY,1
07FA,KLUK,1
07FA,KOCF,1
07FA,KSJC,1
3J1,KPBI,1
CYLW,KSUN,1
CYQB,KBVY,1
CYQB,KIAD,1
CYUL,KTEB,1
CYVR,KBFI,1
CYVR,KMSP,1
CYVR,KOAK,1
CYVR,KTEB,1
CYYZ,KASE,1
KTEB,MYAM,1
KTEB,TNCM,1
KTMB,MBPV,1
KTUL,KUGN,1
KPBI,KPDK,1
KPBI,KPWK,1
KOJC,KUUV,1
KOKC,KTME,1
KOMA,KOMA,1
KONT,KSJC,1
KOPF,KOPF,1
KORL,KPHL,1
KASE,KOMA,1
KASE,KPDX,1
KASE,KSAN,1
KAPF,KRDU,1
KORL,TLPL,1
KOSU,KPBI,1
KOSU,KTEB,1
KOXC,KSFO,1
KASG,KBLM,1
KATL,KJZI,1
KATL,MYEH,1
KAUS,KDAL,1
KASE,KHPN,1
KASE,KJAC,1
KASE,KMAF,1
KASE,KMIA,1
KSGF,KSRQ,1
KSGR,MYNN,1
KSGU,KTRM,1
KSJC,KSLC,1
KSJC,KTEB,1
CYYZ,KTEB,1
KASE,KSTL,1
KASE,KSUA,1
KBTR,KDTS,1
KBTR,KECP,1
KBTR,KFTW,1
KBTV,KPBI,1
KBNA,KTEB,1
KBNA,KTPA,1
KBOS,KLGA,1
KBOS,KMIA,1
KAUS,KVNY,1
KAUS,MMPR,1
KAVL,KJZI,1
KBCT,KBNA,1
KBOS,KTEB,1
KBRD,KRSW,1
KBRO,KBTR,1
KBRO,KDFW,1
KBCT,KORD,1
KBCT,KPTK,1
KBCT,KTPA,1
KBDL,KBZN,1
KBDN,KPSP,1
KAUS,KSRQ,1
KAUS,KTEB,1
KAUS,KTEX,1
KSAV,KVNC,1
KSBA,KSJC,1
KSBA,KTEB,1
KSDL,KSGF,1
KSDL,KSGR,1
KSDL,KSLC,1
KSFO,KSUA,1
KBCT,KLIT,1
KCMH,KMCO,1
KCGF,KMKY,1
KCHO,KSLN,1
KCHS,KCMH,1
KCHS,KJWN,1
KCHS,KLIT,1
KCHS,KPIE,1
KCHS,KSDL,1
KBJC,KSNA,1
KCLL,KLAS,1
KCLT,KIAD,1
KCLT,KLEX,1
KCLT,KPDK,1
KCLT,KTEB,1
KCMH,KDWH,1
KCMH,KFLL,1
KBNA,KJAX,1
KBNA,KLGA,1
KBNA,KRSW,1
KBHM,KPSP,1
KBJC,KFLL,1
KBJC,KHPN,1
KBJC,KLAS,1
KBJC,KOBE,1
KBOS,KOPF,1
KBOS,KPHL,1
KBOS,KPIT,1
KBKL,KMSL,1
KBLM,KMEM,1
KBNA,KDEN,1
KBNA,KERV,1
KBNA,KIAD,1
KDAB,MMUN,1
KDAL,KDSM,1
KDAL,KHOU,1
KDAL,KHPN,1
KDAL,KLAS,1
KDAL,KLAX,1
KCQF,KPDK,1
KCRG,KFTY,1
KBWG,KEFD,1
KDAL,KLEX,1
KDAL,KMRY,1
KDAL,KSLC,1
KDAL,MMPR,1
KDAL,MMSL,1
KDAL,TNCM,1
KDAB,KSUT,1
KCEU,KNEW,1
KBUF,KBWI,1
KBUF,KHPN,1
KBUF,KJAC,1
KBUF,KMIA,1
KBUF,KRSW,1
KBUR,KDAL,1
KBUR,KOAK,1
KCLE,KNEW,1
KBWI,KRDU,1
KBZN,KGOO,1
KBZN,KHPN,1
KBZN,KPWT,1
KCAE,KGGE,1
KCAE,KGVL,1
KCEU,KJVY,1
KEGE,KSDL,1
KEGE,KSNA,1
KEGE,KTEB,1
KEKM,KMSL,1
KEKM,KMSP,1
KDSM,KPBI,1
KDTO,KLAF,1
KDTS,KGSP,1
KELP,KSDL,1
KELP,KSNA,1
KELP,MMSL,1
KEQY,KHPN,1
KEVV,KEYW,1
KECP,KUIN,1
KEGE,KFRG,1
KEGE,KPBI,1
KCMH,KPIT,1
KCMH,KSNY,1
KCNI,KPBI,1
KCNU,KTXK,1
KCOD,KFCM,1
KELP,KJAC,1
KELP,KLAS,1
KELP,KMIA,1
KCRG,KMSP,1
KCRQ,KMMH,1
KCRQ,KOAK,1
KCRQ,KSBM,1
KCRQ,MMPR,1
KCRQ,TJSJ,1
KCMH,KMKC,1
KCMH,KPBI,1
KFTY,KOLV,1
KAPF,KRST,1
KAPF,KSGR,1
KAPF,KTEB,1
KAPF,MMUN,1
KAPF,MRLB,1
KAPF,KCLE,1
KAPF,KCRE,1
KFXE,KPHL,1
KFXE,MWCR,1
KGOO,KHWD,1
KFRG,KPSP,1
KFRG,TQPF,1
KFTW,KSDL,1
KFTY,KHOU,1
KFTY,KMIA,1
KDRO,KTUL,1
KDSM,KIAD,1
KDSM,KJZI,1
KFTY,KOPF,1
KFTY,MMTO,1
KFWA,KMKY,1
KFXE,KGRB,1
KFXE,KLAL,1
KECP,KHDC,1
KECP,KRSW,1
KECP,KTMB,1
KDAY,KPWK,1
KDBQ,KRNO,1
KDFW,KIAD,1
KDFW,KORD,1
KDFW,KPSC,1
KFRG,KFRG,1
KFRG,KFXE,1
KEWR,KFTY,1
KEYW,KTEB,1
KFAR,KOMA,1
KFCI,KTYS,1
KFDY,KSRQ,1
KFHB,KFTW,1
KBFI,KBWI,1
KBFI,KDWH,1
KBFI,KGRB,1
KBFI,KHIO,1
KBCT,KCHS,1
KFLL,KTXK,1
KFLL,TQPF,1
KFNL,KJAX,1
KBFI,KSLN,1
KBFI,KSNA,1
KBFI,KTEB,1
KBFI,KTIX,1
KBHM,KMDW,1
KBED,KCHS,1
KBED,KPBI,1
KBED,MDCY,1
KAPF,KHKS,1
KAPF,KMDW,1
KAPF,KMSP,1
KAPF,KPBI,1
KAPF,KPTK,1
KAPF,KPWK,1
KBFI,KPSP,1
KBFI,KSAF,1
KGPI,KSAN,1
KGPI,KVNY,1
KGRR,TNCM,1
KGSO,KLEX,1
KGSO,KMEM,1
KGSO,KMIA,1
KIAD,KPIT,1
KIAD,KRDU,1
KGUC,KSGR,1
KGVL,KMCO,1
KGVL,KRNT,1
KHBV,KSAT,1
KHDN,KJBR,1
KHDN,KOGD,1
KHDN,KSGJ,1
KGPI,KPTK,1
KHPN,KMDW,1
KHDN,KTEB,1
KHKS,KMEM,1
KHOT,KMCN,1
KHOT,KMTJ,1
KHOU,KPBI,1
KHOU,KROW,1
KGTU,KHXD,1
KFHB,KSDF,1
KFLL,KGSP,1
KHOU,KTEX,1
KHOU,KVRB,1
KHPN,KHXD,1
KHPN,KIAD,1
KHPN,KJAX,1
KHPN,KLEB,1
KLAL,MYEN,1
KLAS,KLAX,1
KLAS,KLRD,1
KLAS,KOMA,1
KLAS,KPBI,1
KLAS,KPWM,1
KLAS,KSCK,1
KLAS,KSDL,1
KIAD,KICT,1
KHPN,KRDU,1
KHPN,KSAV,1
KHPN,KSEF,1
KHPN,KSFO,1
KHPN,KSUA,1
KHRF,KSFO,1
KHTS,KLIT,1
KIAD,KMDW,1
KIAD,KMKE,1
KIAD,KNUQ,1
KHVN,TXKF,1
KHWD,KSLC,1
KHXD,KPBI,1
KHXD,KSHV,1
KHXD,KSRQ,1
KIAD,KSJC,1
KIAD,KSLC,1
KIAD,KSRQ,1
KIAD,KTEB,1
KIAD,KTKI,1
KIAD,KTMB,1
KIAD,KLIT,1
KIAD,KLUK,1
KMIA,KUUV,1
KMKC,KSTL,1
KMKC,KUDD,1
KMLI,KTYS,1
KMDW,KSUX,1
KMDW,T82,1
KMEM,KTKI,1
KMFR,KRDM,1
KIAH,KSJC,1
KIAH,MDPC,1
KILG,KMIA,1
KIND,KLAX,1
KIND,KRSW,1
KMIA,KPIE,1
KMIA,KSRQ,1
KMIA,KSUS,1
KINT,KPWK,1
KINT,KVNC,1
KISM,KOAK,1
KISM,KSDL,1
KISM,KSLN,1
KJAC,KPDX,1
KJAC,KRDM,1
KJAN,MYEH,1
KJAX,TNCM,1
KJAX,TUPJ,1
KJQF,KTPA,1
KJWN,KMTJ,1
KJYO,KTEB,1
KJZI,KPWK,1
KJZI,KTEB,1
KLAL,KMIA,1
KMSY,MYEH,1
KMSY,MYNN,1
KMTJ,KTPA,1
KMTJ,KVNY,1
KMTJ,KXNA,1
KMTV,MYNN,1
KMVL,KTEB,1
KMRY,KUDD,1
KLGA,KPBI,1
KMYF,KTOA,1
KNEW,KPCW,1
KNEW,KSGR,1
KNEW,KTYR,1
KNUQ,KRNO,1
KOCF,KOSU,1
KMSP,KRSW,1
KMCO,MDPC,1
KMDW,KMGM,1
KLAS,MMPR,1
KLAX,KMFR,1
KLAX,KMMH,1
KLAX,KSDM,1
KLBE,KTMB,1
KLGA,KMCO,1
KMIA,KMIA,1
KMIA,KOXC,1
KMIA,KPBI,1
KLIT,KMSY,1
KLUK,KRDU,1
KLWB,KMSP,1
KMCO,KOPF,1
KMCO,KPWK,1
KORL,KXNA,1
KSLC,MMSL,1
KSMF,KSTL,1
KSMX,KTIX,1
KSNA,KUDD,1
KSNY,KSTS,1
KSUA,MMTO,1
KSFO,KTUS,1
KPDX,KSEA,1
