Airport1,Airport2,TotalReservations,Distance
KPBI,KTEB,17,1037.7
KHPN,KPBI,14,1058.44
KIAD,KPBI,10,860.98
KMIA,KTEB,7,1099.81
KMDW,KTEB,6,712.68
KAUS,KMAF,6,294.12
KEGE,KTEB,6,1724.53
KDAL,KTEB,6,1370.81
KSJC,KSNA,6,342.06
KLAS,KSNA,6,226.48
KBOS,KPBI,6,1198.83
KPBI,MYNN,5,199.07
KSJC,KVNY,5,290.85
KOPF,KTEB,5,1092.21
KTEB,TXKF,4,782.98
KHPN,KJAC,4,1883.68
KEGE,KHPN,4,1740.72
KAUS,KMEM,4,558.82
KSGR,MMSD,4,977.49
KRDU,KTEB,4,428.34
KCLT,KTEB,4,540.19
KTEB,MYNN,4,1109.9
KCMH,KROA,4,242.53
KHPN,KSUA,4,1028.38
KRIL,KVNY,3,698.41
KBFI,KSNA,3,984.68
KRIL,KSDL,3,469.16
KDAL,KIAD,3,1161.44
KSGR,MYNN,3,1159.11
KSBA,KSJC,3,234.13
KSBA,KTEB,3,2514.84
KEGE,KPWK,3,1005.75
KASE,KTEB,3,1729.04
KAUS,KDAL,3,189.44
KFTY,KTEB,3,753.48
KFLL,TQPF,3,1220.04
KFLL,MYNN,3,181.84
KFTW,KHOU,3,251.53
KAUS,MMPR,3,809.44
KPVD,KTEB,3,149.4
CYYZ,KPBI,3,1174.39
CYYZ,KTEB,3,345.18
KSNA,KSUN,3,705.75
KASE,KMIA,3,1794.95
KAPF,KRIC,3,826.58
KAPF,KRDU,3,694.75
KHPN,KMIA,3,1120.47
KHPN,KVRB,3,1001.75
KHPN,TAPA,3,1798.95
KFTY,KOPF,3,600.22
KHOU,KMAF,3,440.45
KAPF,KBNA,3,747.23
KIAD,KTEB,3,223.01
KIAD,KTTN,3,168.16
KMMU,MYAM,3,999.03
KAPA,KSDL,3,567.31
KMSP,KSLC,3,988.93
KMRY,KVNY,3,250.25
KMIA,KPWK,3,1207.68
KAPF,KPWK,3,1156.35
KMCO,KPDK,3,415.81
KJZI,KTEB,3,651.66
KLAS,KLAX,3,236.11
KIAD,KPDX,3,2321.29
