Airport1,Airport2,TotalReservations
KPBI,KTEB,46
KHPN,KPBI,31
KMIA,KTEB,26
KIAD,KPBI,19
KMRY,KVNY,17
KMDW,KTEB,17
KASE,KTEB,15
KLAS,KSNA,15
KBOS,KPBI,14
KIAD,KTEB,14
KDAL,KTEB,14
KLAS,KVNY,13
KBOS,KTEB,12
KSJC,KSNA,12
KSUA,KTEB,11
KMIA,MYNN,11
CYYZ,KTEB,11
KEGE,KTEB,11
KBCT,KTEB,11
KTEB,MYNN,10
KOPF,KTEB,10
KASE,KMIA,10
KSJC,KVNY,10
KAPA,KSDL,10
KHPN,KJAC,9
KAUS,KMAF,9
KAPF,KTEB,9
KCLT,KTEB,9
KSDL,KVNY,9
KCMH,KROA,9
KEGE,KHPN,9
KBZN,KHPN,9
KHPN,KSUA,9
KRDU,KTEB,9
KSAN,KSDL,9
KPBI,MYNN,9
KSGR,MMSD,9
KCHO,KTEB,8
KBZN,KSFO,8
KPBI,MYAM,8
KTEB,TXKF,8
KAUS,KTEB,8
KDAL,KIAD,8
KDAL,KSDL,8
KSNA,KSUN,8
KAPF,KBNA,8
KBCT,KHPN,7
CYYZ,KPBI,7
KAPF,KHPN,7
KBED,KTEB,7
KCRQ,KSDL,7
KSRQ,KTEB,7
KSBA,KSJC,7
KHOU,KSAT,7
KEGE,KPWK,7
KAUS,KMEM,6
KBDR,KIAD,6
KAPF,KDAL,6
KPDK,KTEB,6
KPHL,KRDU,6
KFTY,KTEB,6
KASE,KVNY,6
KCHS,KPBI,6
KHPN,TAPA,6
KSDL,KSGR,6
KBHM,KPBI,6
KMIA,KPWK,6
KMDW,KPDK,6
KMIA,KPHL,6
KCHO,KIAG,6
KMCO,KPDK,6
KIAD,KPDX,6
KAPF,KRDU,6
KAUS,MMPR,6
KJZI,KLUK,6
KBZN,KDAL,6
KBNA,KPBI,6
KMSP,KSLC,6
KBOS,KPHL,6
KHPN,KMIA,6
KFLL,TQPF,6
KPBI,KPWK,6
KBED,KIAD,5
KTEB,TJSJ,5
KTEB,TQPF,5
KMTN,KVRB,5
KBUF,KHPN,5
KBUR,KLAS,5
KAPA,KSNA,5
KIAD,KRDU,5
KAPF,KPIA,5
KAUS,KHOU,5
KFTY,KOPF,5
KAPF,KRIC,5
KDCA,KHPN,5
KPDK,KSUA,5
KBCT,MYAM,5
KELP,KLAS,5
KBED,KPBI,5
KBZN,KSJC,5
KIAD,KPDK,5
KAPF,KPWK,5
KAPF,KBLM,5
KAPF,KCMH,5
KBFI,KSNA,5
KBZN,KLAS,5
KAUS,KDAL,5
KSGR,KTUL,5
KFXE,KHPN,5
KASE,KSDL,5
KPSP,MMSD,5
KJZI,KTEB,5
KHPN,KIAD,5
KRIL,KSDL,5
KHPN,KJZI,5
KSBA,KSFO,5
KCLT,KPDK,5
KSDL,MMSL,5
KHOU,KPBI,5
KSBA,KTEB,5
KCMH,KFLL,5
KPBI,KPHL,5
KHPN,KVRB,5
KBOS,KBZN,5
KSGR,MYNN,5
KDAL,KLEX,5
KDAL,KMRY,5
KBED,KSRQ,5
KMIA,MBPV,5
KDAL,KSGR,5
KAPF,KBED,5
KBUF,KBWI,5
KAPF,KMCO,5
KAPF,KLUK,5
KAPF,KMDW,5
KBDL,KBZN,5
KMRY,KSDL,5
KJAC,KVNY,5
KMRY,KTRM,4
KBDL,KBTV,4
KAPF,KFOK,4
KBPT,KPHL,4
KAPF,KIAD,4
KBOS,KHPN,4
KBOS,KSUA,4
KJAC,KLUK,4
KBOS,KSLC,4
KPWK,KSBA,4
KBWI,KPBI,4
KISM,KTEB,4
KBUF,KPIT,4
KAPC,KVNY,4
KDWH,KMBT,4
KTEB,MYAM,4
KTEB,KTUS,4
KDAL,KLAS,4
KSLC,KVNY,4
KSJC,KSTL,4
KSLC,KTEB,4
KFCM,KSDL,4
KDAL,KMCO,4
KDAL,KMSO,4
KSJC,KTRM,4
KFAT,KSFO,4
KDCA,KTEB,4
KDAL,KEGE,4
KADS,KBEH,4
KSGU,KSLC,4
KCLE,KPBI,4
KHOU,KSTL,4
KLAS,KPHL,4
KLAS,KLAX,4
KAPF,KMIA,4
KPBI,KSRQ,4
KHOU,MYGF,4
KRNO,KSJC,4
KAPA,KMEM,4
KLAF,KPWK,4
KLAL,KRDU,4
KHPN,KRIL,4
KPWK,KTEB,4
KRIC,KTEB,4
KCID,KPWK,4
KPBI,KPBI,4
KPBI,KPDK,4
KHPN,TQPF,4
KHOU,KNEW,4
KCMA,KSJC,4
KLAS,KTRM,4
KBNA,KBZN,4
KAPF,KSBN,4
KPBI,KSDL,4
