airport_name,tails_num,crewmembers_num,reservations_num
KTEB,31,94,106
KPBI,22,87,87
KIAD,21,43,51
KHPN,14,39,48
KAPF,15,19,47
KMIA,9,25,39
KDAL,35,64,34
KSDL,9,14,33
KSNA,4,20,29
KLAS,12,40,27
KSLC,9,28,27
KHOU,2,9,25
KAUS,8,31,24
KVNY,8,26,24
KBNA,3,26,22
KBOS,6,16,21
KSJC,3,8,21
KSUA,1,8,21
KCMH,37,68,20
KSFO,4,13,20
MYNN,8,12,19
KMDW,7,41,18
KSRQ,3,17,18
KBFI,6,18,17
KOPF,5,5,17
KASE,3,4,16
KBZN,8,14,15
KCHS,2,14,15
KFLL,9,26,14
KMCO,7,26,14
KLAX,6,21,14
KPWK,6,17,14
KEGE,6,10,14
KPDK,5,22,14
KBCT,2,2,14
KMSP,3,29,13
KSAN,3,7,13
KBHM,2,3,13
KMMU,4,20,12
KFTY,3,6,12
KSGR,2,19,12
KAPA,2,8,12
MMSL,1,2,12
KPHL,5,19,11
KPSP,3,8,11
KRSW,2,27,11
KRDU,2,18,11
KORL,2,7,11
KTPA,1,39,11
KTMB,5,9,10
KBED,4,14,10
KMSY,3,6,10
KFRG,2,7,10
KMEM,1,11,10
KPDX,1,9,10
KOAK,0,3,10
MMSD,7,10,9
KCLT,5,26,9
KMAF,2,2,9
KOMA,1,7,9
KJAC,1,4,9
KFXE,1,0,9
KMKC,6,7,8
KSTL,3,19,8
KLIT,2,13,8
KSBA,2,5,8
KMSN,2,4,8
KJZI,2,2,8
KPIT,1,17,8
KSAT,1,8,8
KMTJ,1,2,8
KADS,1,0,8
KBJC,0,2,8
KPIE,0,1,8
KNEW,0,0,8
KBUF,5,3,7
KRIL,4,8,7
KLUK,4,2,7
KGJT,3,3,7
KJAX,1,19,7
KHDN,1,5,7
KROA,1,3,7
KFTW,1,2,7
KISM,0,5,7
KSUS,0,4,7
KBTR,0,3,7
CYVR,0,0,7
KMRY,0,0,7
MYAM,5,4,6
KCRQ,3,5,6
MMPR,2,7,6
KELP,2,2,6
KTTN,2,2,6
CYYZ,2,0,6
KRNO,1,11,6
TNCM,1,5,6
KHXD,1,4,6
KSDF,1,4,6
MBPV,1,0,6
KDFW,0,24,6
KVRB,0,9,6
KGSP,0,7,6
KDTS,0,2,6
KBUR,0,1,6
KTRM,0,0,6
KBWI,3,7,5
KLAL,1,2,5
KSTS,1,2,5
KSLN,1,0,5
KPHX,0,36,5
KECP,0,13,5
KATL,0,8,5
KJWN,0,0,5
KLGA,0,0,5
TQPF,6,5,4
KGSO,3,11,4
KSAF,3,8,4
TJSJ,3,5,4
MYEH,3,0,4
KOSU,2,7,4
KCRG,2,0,4
KTUL,1,9,4
KPVD,1,8,4
KDSM,1,7,4
KCHO,1,5,4
KSUN,1,5,4
KHVN,1,2,4
07FA,1,0,4
KEYW,1,0,4
TXKF,1,0,4
KCLE,0,12,4
KOKC,0,4,4
KABQ,0,3,4
KEWR,0,3,4
KAFW,0,2,4
KGPI,0,2,4
KRIC,0,2,4
KDWH,0,0,4
KILN,0,0,4
KOCF,0,0,4
KRYY,0,0,4
KSDM,0,0,4
KUDD,0,0,4
MMTO,0,0,4
KICT,23,18,3
KIAH,3,9,3
KLEX,2,11,3
KORD,2,10,3
KXNA,2,10,3
