airport_name,tails_num,crewmembers_num,reservations_num
0218_KTEB,31,94,106
0218_KPBI,22,87,87
0218_KIAD,21,43,51
0218_KHPN,14,39,48
0218_KAPF,15,19,47
0218_KMIA,9,25,39
0218_KDAL,35,64,34
0218_KSDL,9,14,33
0218_KSNA,4,20,29
0218_KLAS,12,40,27
0218_KSLC,9,28,27
0218_KHOU,2,9,25
0218_KAUS,8,31,24
0218_KVNY,8,26,24
0218_KBNA,3,26,22
0218_KBOS,6,16,21
0218_KSJC,3,8,21
0218_KSUA,1,8,21
0218_KCMH,37,68,20
0218_KSFO,4,13,20
0218_MYNN,8,12,19
0218_KMDW,7,41,18
0218_KSRQ,3,17,18
0218_KBFI,6,18,17
0218_KOPF,5,5,17
0218_KASE,3,4,16
0218_KBZN,8,14,15
0218_KCHS,2,14,15
0218_KFLL,9,26,14
0218_KMCO,7,26,14
0218_KLAX,6,21,14
0218_KPWK,6,17,14
0218_KEGE,6,10,14
0218_KPDK,5,22,14
0218_KBCT,2,2,14
0218_KMSP,3,29,13
0218_KSAN,3,7,13
0218_KBHM,2,3,13
0218_KMMU,4,20,12
0218_KFTY,3,6,12
0218_KSGR,2,19,12
0218_KAPA,2,8,12
0218_MMSL,1,2,12
0218_KPHL,5,19,11
0218_KPSP,3,8,11
0218_KRSW,2,27,11
0218_KRDU,2,18,11
0218_KORL,2,7,11
0218_KTPA,1,39,11
0218_KTMB,5,9,10
0218_KBED,4,14,10
0218_KMSY,3,6,10
0218_KFRG,2,7,10
0218_KMEM,1,11,10
0218_KPDX,1,9,10
0218_KOAK,0,3,10
0218_MMSD,7,10,9
0218_KCLT,5,26,9
0218_KMAF,2,2,9
0218_KOMA,1,7,9
0218_KJAC,1,4,9
0218_KFXE,1,0,9
0218_KMKC,6,7,8
0218_KSTL,3,19,8
0218_KLIT,2,13,8
0218_KSBA,2,5,8
0218_KMSN,2,4,8
0218_KJZI,2,2,8
0218_KPIT,1,17,8
0218_KSAT,1,8,8
0218_KMTJ,1,2,8
0218_KADS,1,0,8
0218_KBJC,0,2,8
0218_KPIE,0,1,8
0218_KNEW,0,0,8
0218_KBUF,5,3,7
0218_KRIL,4,8,7
0218_KLUK,4,2,7
0218_KGJT,3,3,7
0218_KJAX,1,19,7
0218_KHDN,1,5,7
0218_KROA,1,3,7
0218_KFTW,1,2,7
0218_KISM,0,5,7
0218_KSUS,0,4,7
0218_KBTR,0,3,7
0218_CYVR,0,0,7
0218_KMRY,0,0,7
0218_MYAM,5,4,6
0218_KCRQ,3,5,6
0218_MMPR,2,7,6
0218_KELP,2,2,6
0218_KTTN,2,2,6
0218_CYYZ,2,0,6
0218_KRNO,1,11,6
0218_TNCM,1,5,6
0218_KHXD,1,4,6
0218_KSDF,1,4,6
0218_MBPV,1,0,6
0218_KDFW,0,24,6
0218_KVRB,0,9,6
0218_KGSP,0,7,6
0218_KDTS,0,2,6
0218_KBUR,0,1,6
0218_KTRM,0,0,6
0218_KBWI,3,7,5
0218_KLAL,1,2,5
0218_KSTS,1,2,5
0218_KSLN,1,0,5
0218_KPHX,0,36,5
0218_KECP,0,13,5
0218_KATL,0,8,5
0218_KJWN,0,0,5
0218_KLGA,0,0,5
0218_TQPF,6,5,4
0218_KGSO,3,11,4
0218_KSAF,3,8,4
0218_TJSJ,3,5,4
0218_MYEH,3,0,4
0218_KOSU,2,7,4
0218_KCRG,2,0,4
0218_KTUL,1,9,4
0218_KPVD,1,8,4
0218_KDSM,1,7,4
0218_KCHO,1,5,4
0218_KSUN,1,5,4
0218_KHVN,1,2,4
