Hour,ReservationCount
2026-02-17 17:00:00+00:00,79
2026-02-17 18:00:00+00:00,76
2026-02-17 19:00:00+00:00,55
2026-02-17 20:00:00+00:00,63
2026-02-17 21:00:00+00:00,47
2026-02-17 22:00:00+00:00,46
2026-02-17 23:00:00+00:00,37
2026-02-18 00:00:00+00:00,15
2026-02-18 01:00:00+00:00,15
2026-02-18 02:00:00+00:00,4
2026-02-18 03:00:00+00:00,6
2026-02-18 04:00:00+00:00,4
2026-02-18 05:00:00+00:00,2
2026-02-18 06:00:00+00:00,0
2026-02-18 07:00:00+00:00,0
2026-02-18 08:00:00+00:00,0
2026-02-18 09:00:00+00:00,0
2026-02-18 10:00:00+00:00,4
2026-02-18 11:00:00+00:00,12
2026-02-18 12:00:00+00:00,15
2026-02-18 13:00:00+00:00,26
2026-02-18 14:00:00+00:00,34
2026-02-18 15:00:00+00:00,56
2026-02-18 16:00:00+00:00,58
2026-02-18 17:00:00+00:00,56
2026-02-18 18:00:00+00:00,61
2026-02-18 19:00:00+00:00,61
2026-02-18 20:00:00+00:00,50
2026-02-18 21:00:00+00:00,44
2026-02-18 22:00:00+00:00,43
2026-02-18 23:00:00+00:00,31
2026-02-19 00:00:00+00:00,24
2026-02-19 01:00:00+00:00,14
2026-02-19 02:00:00+00:00,7
2026-02-19 03:00:00+00:00,7
2026-02-19 04:00:00+00:00,1
2026-02-19 05:00:00+00:00,3
2026-02-19 06:00:00+00:00,2
2026-02-19 07:00:00+00:00,1
